"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USC00046336","OAKLAND MUSEUM, CA US","2020-01","2.17","53.0","60.3","45.7"
"USC00046336","OAKLAND MUSEUM, CA US","2020-02","0.00","57.1","66.9","47.3"
"USC00046336","OAKLAND MUSEUM, CA US","2020-03","1.11","55.4","62.4","48.3"
"USC00046336","OAKLAND MUSEUM, CA US","2020-04","0.99","59.0","66.6","51.5"
"USC00046336","OAKLAND MUSEUM, CA US","2020-05","0.54","63.9","72.8","55.1"
"USC00046336","OAKLAND MUSEUM, CA US","2020-06","0.00","65.4","73.6","57.2"
"USC00046336","OAKLAND MUSEUM, CA US","2020-07","0.00","64.3","71.7","56.9"
"USC00046336","OAKLAND MUSEUM, CA US","2020-08","0.02","67.3","75.3","59.4"
"USC00046336","OAKLAND MUSEUM, CA US","2020-09","0.00","69.0","78.2","59.9"
"USC00046336","OAKLAND MUSEUM, CA US","2020-10","0.00","67.8","78.6","57.0"
"USC00046336","OAKLAND MUSEUM, CA US","2020-11","0.19","56.7","65.8","47.6"
"USC00046336","OAKLAND MUSEUM, CA US","2020-12","1.58","53.4","61.9","44.8"
