"Encampment Fires_ January 1, 2020 to April 20 2021",,,
Incident Type Description,Address,Create Date Only,Event Number
ENCAMPMENT /OUTSIDE,5TH ST&BROADWAY,"January, 1 2020",FOF200101000241
ENCAMPMENT /OUTSIDE,CLAREMONT AV&HUDSON ST,"January, 1 2020",FOF200101000260
ENCAMPMENT /OUTSIDE,860 77TH AV,"January, 2 2020",FOF200102000291
ENCAMPMENT /OUTSIDE,860 77TH AV,"January, 2 2020",FOF200102000301
ENCAMPMENT /OUTSIDE,E 10TH ST&9TH AV,"January, 2 2020",FOF200102000331
ENCAMPMENT /OUTSIDE,27TH ST&MARTIN LUTHER KING JR WY,"January, 2 2020",FOF200102000349
ENCAMPMENT /OUTSIDE,107TH AV&RUSSETT ST,"January, 2 2020",FOF200102000392
ENCAMPMENT /OUTSIDE,6TH ST&JACKSON ST,"January, 2 2020",FOF200102000536
ENCAMPMENT /OUTSIDE,800 47TH AV,"January, 3 2020",FOF200103000547
ENCAMPMENT /OUTSIDE,DENNISON ST&EMBARCADERO,"January, 3 2020",FOF200103000617
ENCAMPMENT /OUTSIDE,5TH ST&WEBSTER ST,"January, 3 2020",FOF200103000779
ENCAMPMENT /OUTSIDE,47TH AV&SAN LEANDRO ST,"January, 5 2020",FOF200105001231
ENCAMPMENT /OUTSIDE,HIGH ST&MACARTHUR BLVD,"January, 6 2020",FOF200106001320
ENCAMPMENT /OUTSIDE,42ND AV&WATTLING ST,"January, 7 2020",FOF200107001570
ENCAMPMENT /OUTSIDE,50TH AV&SAN LEANDRO ST,"January, 7 2020",FOF200107001634
ENCAMPMENT /OUTSIDE,5TH ST&BROADWAY,"January, 7 2020",FOF200107001653
ENCAMPMENT /OUTSIDE,CASTRO ST&SAN PABLO AV,"January, 7 2020",FOF200107001668
ENCAMPMENT /OUTSIDE,9603 INTERNATIONAL BLVD,"January, 7 2020",FOF200107001806
ENCAMPMENT /OUTSIDE,5TH ST&KIRKHAM ST,"January, 7 2020",FOF200107001808
ENCAMPMENT /OUTSIDE,E 10TH ST&2ND AV,"January, 8 2020",FOF200108001881
ENCAMPMENT /OUTSIDE,E 10TH ST&2ND AV,"January, 8 2020",FOF200108001979
ENCAMPMENT /OUTSIDE,12TH ST&LAKE MERRITT BLVD,"January, 10 2020",FOF200110002428
ENCAMPMENT /OUTSIDE,SAN LEANDRO ST&SEMINARY AV,"January, 10 2020",FOF200110002523
ENCAMPMENT /OUTSIDE,34TH ST&HOLLIS ST,"January, 10 2020",FOF200110002573
ENCAMPMENT /OUTSIDE,NORTHGATE AV&SYCAMORE ST,"January, 11 2020",FOF200111002896
ENCAMPMENT /OUTSIDE,6TH ST&ALICE ST,"January, 11 2020",FOF200111002898
ENCAMPMENT /OUTSIDE,6TH ST&WEBSTER ST,"January, 11 2020",FOF200111002899
ENCAMPMENT /OUTSIDE,34TH ST&TELEGRAPH AV,"January, 13 2020",FOF200113003177
ENCAMPMENT /OUTSIDE,EB CLAREMONT OFFRP AV&EB S24,"January, 13 2020",FOF200113003350
ENCAMPMENT /OUTSIDE,30TH ST&MARTIN LUTHER KING JR WY,"January, 14 2020",FOF200114003399
ENCAMPMENT /OUTSIDE,6TH ST&WEBSTER ST,"January, 15 2020",FOF200115003744
ENCAMPMENT /OUTSIDE,3505 BROADWAY,"January, 15 2020",FOF200115003818
ENCAMPMENT /OUTSIDE,7TH ST&WEBSTER ST,"January, 15 2020",FOF200115003840
ENCAMPMENT /OUTSIDE,4TH ST&WEBSTER ST,"January, 16 2020",FOF200116003975
ENCAMPMENT /OUTSIDE,42ND AV&INTERNATIONAL BLVD,"January, 16 2020",FOF200116004014
ENCAMPMENT /OUTSIDE,7TH ST&WEBSTER ST,"January, 16 2020",FOF200116004035
ENCAMPMENT /OUTSIDE,6TH ST&WEBSTER ST,"January, 17 2020",FOF200117004388
ENCAMPMENT /OUTSIDE,2756 MARTIN LUTHER KING JR WY,"January, 18 2020",FOF200118004605
ENCAMPMENT /OUTSIDE,W GRAND AV&MARITIME ST,"January, 19 2020",FOF200119004905
ENCAMPMENT /OUTSIDE,W GRAND AV&MARITIME ST,"January, 19 2020",FOF200119004915
ENCAMPMENT /OUTSIDE,630 HIGH ST,"January, 20 2020",FOF200120004924
ENCAMPMENT /OUTSIDE,47TH AV&BANCROFT AV,"January, 20 2020",FOF200120005103
ENCAMPMENT /OUTSIDE,45TH AV&BANCROFT AV,"January, 20 2020",FOF200120005140
ENCAMPMENT /OUTSIDE,E 7TH ST&FRUITVALE AV,"January, 20 2020",FOF200120005147
ENCAMPMENT /OUTSIDE,HAWTHORNE AV&SUMMIT ST,"January, 21 2020",FOF200121005256
ENCAMPMENT /OUTSIDE,34TH ST&WEBSTER ST,"January, 21 2020",FOF200121005265
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"January, 22 2020",FOF200122005532
ENCAMPMENT /OUTSIDE,W GRAND AV&MARTIN LUTHER KING JR WY,"January, 23 2020",FOF200123005831
ENCAMPMENT /OUTSIDE,W GRAND AV&MARTIN LUTHER KING JR WY,"January, 23 2020",FOF200123005832
ENCAMPMENT /OUTSIDE,37TH ST&MARTIN LUTHER KING JR WY,"January, 23 2020",FOF200123005867
ENCAMPMENT /OUTSIDE,171 8TH ST,"January, 23 2020",FOF200123005963
ENCAMPMENT /OUTSIDE,ALAMEDA AV&FRUITVALE AV,"January, 23 2020",FOF200123005972
ENCAMPMENT /OUTSIDE,7TH ST&KIRKHAM ST,"January, 24 2020",FOF200124006046
ENCAMPMENT /OUTSIDE,11143 ROBLEDO DR,"January, 24 2020",FOF200124006155
ENCAMPMENT /OUTSIDE,82ND AV&RUDSDALE ST,"January, 25 2020",FOF200125006443
ENCAMPMENT /OUTSIDE,E 8TH ST&E 9TH ST,"January, 25 2020",FOF200125006498
ENCAMPMENT /OUTSIDE,ROYAL ST&SAN LEANDRO ST,"January, 26 2020",FOF200126006571
ENCAMPMENT /OUTSIDE,12TH ST&LAKE MERRITT BLVD,"January, 26 2020",FOF200126006638
ENCAMPMENT /OUTSIDE,98TH AV&B ST,"January, 26 2020",FOF200126006692
ENCAMPMENT /OUTSIDE,66TH AV&SAN LEANDRO ST,"January, 27 2020",FOF200127006848
ENCAMPMENT /OUTSIDE,35TH ST&MARTIN LUTHER KING JR WY,"January, 27 2020",FOF200127006857
ENCAMPMENT /OUTSIDE,HARRISON ST&MACARTHUR BLVD,"January, 27 2020",FOF200127006981
ENCAMPMENT /OUTSIDE,54TH AV&SAN LEANDRO ST,"January, 28 2020",FOF200128007006
ENCAMPMENT /OUTSIDE,CLAREMONT AV&HUDSON ST,"January, 28 2020",FOF200128007029
ENCAMPMENT /OUTSIDE,11TH ST&BRUSH ST,"January, 28 2020",FOF200128007070
ENCAMPMENT /OUTSIDE,DENNISON ST&EMBARCADERO,"January, 29 2020",FOF200129007458
ENCAMPMENT /OUTSIDE,CASTRO ST&SAN PABLO AV,"January, 30 2020",FOF200130007653
ENCAMPMENT /OUTSIDE,12TH ST&BRUSH ST,"January, 31 2020",FOF200131007871
ENCAMPMENT /OUTSIDE,54TH AV&SAN LEANDRO ST,"February, 1 2020",FOF200201008165
ENCAMPMENT /OUTSIDE,34TH ST&TELEGRAPH AV,"February, 1 2020",FOF200201008216
ENCAMPMENT /OUTSIDE,25TH ST&NORTHGATE AV,"February, 1 2020",FOF200201008227
ENCAMPMENT /OUTSIDE,105TH AV&SAN LEANDRO ST,"February, 2 2020",FOF200202008443
ENCAMPMENT /OUTSIDE,8451 SAN LEANDRO ST,"February, 3 2020",FOF200203008644
ENCAMPMENT /OUTSIDE,54TH AV&SAN LEANDRO ST,"February, 4 2020",FOF200204009033
ENCAMPMENT /OUTSIDE,6TH ST&FRANKLIN ST,"February, 6 2020",FOF200206009311
ENCAMPMENT /OUTSIDE,23RD ST&MARTIN LUTHER KING JR WY,"February, 7 2020",FOF200207009594
ENCAMPMENT /OUTSIDE,47TH AV&SAN LEANDRO ST,"February, 7 2020",FOF200207009807
ENCAMPMENT /OUTSIDE,66TH AV&COLISEUM WY,"February, 8 2020",FOF200208009823
ENCAMPMENT /OUTSIDE,600 HARRISON ST,"February, 8 2020",FOF200208009840
ENCAMPMENT /OUTSIDE,36TH ST&MARTIN LUTHER KING JR WY,"February, 8 2020",FOF200208009863
ENCAMPMENT /OUTSIDE,275 7TH ST,"February, 9 2020",FOF200209010347
ENCAMPMENT /OUTSIDE,NORTHGATE AV&SYCAMORE ST,"February, 10 2020",FOF200210010559
ENCAMPMENT /OUTSIDE,36TH ST&MARKET ST,"February, 10 2020",FOF200210010578
ENCAMPMENT /OUTSIDE,2100 EMBARCADERO,"February, 10 2020",FOF200210010622
ENCAMPMENT /OUTSIDE,1995 EMBARCADERO,"February, 11 2020",FOF200211010781
ENCAMPMENT /OUTSIDE,12TH ST&LAKE MERRITT BLVD,"February, 11 2020",FOF200211010787
ENCAMPMENT /OUTSIDE,34TH ST&WOOD ST,"February, 11 2020",FOF200211010953
ENCAMPMENT /OUTSIDE,5TH ST&BROADWAY,"February, 11 2020",FOF200211010975
ENCAMPMENT /OUTSIDE,3601 TELEGRAPH AV,"February, 12 2020",FOF200212011044
ENCAMPMENT /OUTSIDE,1925 BRUSH ST,"February, 12 2020",FOF200212011079
ENCAMPMENT /OUTSIDE,85TH AV&SAN LEANDRO ST,"February, 13 2020",FOF200213011296
ENCAMPMENT /OUTSIDE,DENNISON ST&EMBARCADERO,"February, 13 2020",FOF200213011450
ENCAMPMENT /OUTSIDE,2100 EMBARCADERO,"February, 13 2020",FOF200213011455
ENCAMPMENT /OUTSIDE,6TH ST&WEBSTER ST,"February, 17 2020",FOF200217012282
ENCAMPMENT /OUTSIDE,29TH ST&TELEGRAPH AV,"February, 17 2020",FOF200217012373
ENCAMPMENT /OUTSIDE,47TH AV&SAN LEANDRO ST,"February, 17 2020",FOF200217012451
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"February, 17 2020",FOF200217012460
ENCAMPMENT /OUTSIDE,23RD ST&MARTIN LUTHER KING JR WY,"February, 18 2020",FOF200218012557
ENCAMPMENT /OUTSIDE,36TH ST&MARTIN LUTHER KING JR WY,"February, 18 2020",FOF200218012729
ENCAMPMENT /OUTSIDE,E 12TH ST&16TH AV,"February, 18 2020",FOF200218012761
ENCAMPMENT /OUTSIDE,34TH ST&TELEGRAPH AV,"February, 19 2020",FOF200219013043
ENCAMPMENT /OUTSIDE,ALAMEDA AV&HIGH ST,"February, 20 2020",FOF200220013291
ENCAMPMENT /OUTSIDE,34TH ST&TELEGRAPH AV,"February, 20 2020",FOF200220013329
ENCAMPMENT /OUTSIDE,23RD ST&BRUSH ST,"February, 21 2020",FOF200221013459
ENCAMPMENT /OUTSIDE,HOLLIS ST&W MACARTHUR BLVD,"February, 23 2020",FOF200223013966
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"February, 24 2020",FOF200224014198
ENCAMPMENT /OUTSIDE,2000 DENNISON ST,"February, 24 2020",FOF200224014271
ENCAMPMENT /OUTSIDE,85TH AV&SAN LEANDRO ST,"February, 25 2020",FOF200225014406
ENCAMPMENT /OUTSIDE,900 FALLON ST,"February, 25 2020",FOF200225014578
ENCAMPMENT /OUTSIDE,7TH ST&BRUSH ST,"February, 25 2020",FOF200225014604
