2021-01-01	FOF210101000083	E 12TH ST & 20TH AV
2021-01-01	FOF210101000201	ALAMEDA AV & HOWARD ST
2021-01-01	FOF210101000220	75TH AV & SPENCER ST
2021-01-02	FOF210102000488	60TH ST & SAN PABLO AV
2021-01-03	FOF210103000525	NB HIGH ONRP ST & NB I880
2021-01-03	FOF210103000553	COLISEUM WY & HIGH ST
2021-01-04	FOF210104000773	BALDWIN ST & HEGENBERGER RD
2021-01-04	FOF210104000831	105TH AV & SAN LEANDRO ST
2021-01-05	FOF210105001039	54TH AV & SAN LEANDRO ST
2021-01-05	FOF210105001136	3314 35TH AV
2021-01-05	FOF210105001166	7TH ST & FRONTAGE RD
2021-01-05	FOF210105001207	20TH ST & CASTRO ST
2021-01-06	FOF210106001310	85TH AV & SAN LEANDRO ST
2021-01-06	FOF210106001425	6TH ST & JACKSON ST
2021-01-07	FOF210107001486	E 12TH ST & 16TH AV
2021-01-07	FOF210107001585	E 12TH ST & 19TH AV
2021-01-07	FOF210107001614	7TH ST & WEBSTER ST
2021-01-07	FOF210107001639	989 BRUSH ST
2021-01-07	FOF210107001661	5TH ST & KIRKHAM ST
2021-01-08	FOF210108001870	APGAR ST & W MACARTHUR BLVD
2021-01-09	FOF210109001998	7TH ST & BRUSH ST
2021-01-09	FOF210109002190	17TH ST & BRUSH ST
2021-01-11	FOF210111002540	E 12TH ST & 7TH AV
2021-01-11	FOF210111002571	3200 WOOD ST
2021-01-13	FOF210113003160	11TH ST & CLAY ST
2021-01-14	FOF210114003270	3481 HOLLIS ST
2021-01-14	FOF210114003329	59TH ST & SAN PABLO AV
2021-01-15	FOF210115003410	425 HARRISON ST
2021-01-15	FOF210115003529	E 12TH ST & 22ND AV
2021-01-15	FOF210115003570	1018 PINE ST
2021-01-16	FOF210116003674	HIGH ST & INTERNATIONAL BLVD
2021-01-16	FOF210116003743	7TH ST & BRUSH ST
2021-01-17	FOF210117004018	73RD AV & SAN LEANDRO ST
2021-01-18	FOF210118004252	3RD ST & ADELINE ST
2021-01-18	FOF210118004253	5TH ST & FILBERT ST
2021-01-18	FOF210118004378	66TH AV & COLISEUM WY
2021-01-19	FOF210119004456	3400 WOOD ST
2021-01-19	FOF210119004464	E 12TH ST & 18TH AV
2021-01-19	FOF210119004660	GRAND AV & HARRISON ST
2021-01-19	FOF210119004665	7TH ST & BRUSH ST
2021-01-19	FOF210119004700	59TH ST & SAN PABLO AV
2021-01-20	FOF210120004737	7TH ST & SB I880
2021-01-20	FOF210120004774	E 12TH ST & 29TH AV
2021-01-20	FOF210120004775	W GRAND AV & MARTIN LUTHER KING JR WY
2021-01-20	FOF210120004811	66TH AV & COLISEUM WY
2021-01-20	FOF210120004904	6TH ST & WEBSTER ST
2021-01-20	FOF210120004947	W GRAND AV & WOOD ST
2021-01-20	FOF210120004965	FRONTAGE RD & W GRAND AV
2021-01-21	FOF210121005152	E 12TH ST & 1ST AV
2021-01-21	FOF210121005184	5TH ST & FILBERT ST
2021-01-23	FOF210123005614	5TH ST & MARKET ST
2021-01-23	FOF210123005618	5TH ST & FILBERT ST
2021-01-24	FOF210124005753	27TH ST & NORTHGATE AV
2021-01-24	FOF210124005856	7TH ST & BRUSH ST
2021-01-25	FOF210125005945	29TH ST & TELEGRAPH AV
2021-01-25	FOF210125005954	29TH ST & MARTIN LUTHER KING JR WY
2021-01-25	FOF210125006068	E 12TH ST & 23RD AV
2021-01-26	FOF210126006262	801 10TH ST
2021-01-26	FOF210126006426	2510 WOOD ST
2021-01-27	FOF210127006483	LAKE PARK AV & LAKESHORE AV
2021-01-27	FOF210127006526	3532 TELEGRAPH AV
2021-01-27	FOF210127006542	700 WEBSTER ST
2021-01-28	FOF210128006724	MARTIN LUTHER KING JR WY & THOMAS L. BERKLEY WY
2021-01-28	FOF210128006894	60TH ST & SAN PABLO AV
2021-01-29	FOF210129007098	E 12TH ST & 26TH AV
2021-01-29	FOF210129007160	2537 WILLOW ST
2021-01-30	FOF210130007254	7TH ST & ADELINE ST
2021-01-30	FOF210130007275	34TH ST & WOOD ST
2021-01-30	FOF210130007299	7TH ST & BRUSH ST
2021-01-30	FOF210130007446	2840 CHAPMAN ST
2021-01-31	FOF210131007490	W GRAND AV & MARTIN LUTHER KING JR WY
2021-01-31	FOF210131007645	E 12TH ST & 16TH AV
2021-02-01	FOF210201007713	E 12TH ST & HIGH ST
2021-02-01	FOF210201007750	1541 E 12TH ST
2021-02-01	FOF210201007942	E 12TH ST & 16TH AV
2021-02-02	FOF210202008108	11TH ST & BRUSH ST
2021-02-02	FOF210202008174	6TH ST & WEBSTER ST
2021-02-04	FOF210204008448	7TH ST & BRUSH ST
2021-02-04	FOF210204008485	E 12TH ST & 1ST AV
2021-02-04	FOF210204008580	LAKE PARK AV & LAKESHORE AV
2021-02-04	FOF210204008645	601 WEBSTER ST
2021-02-05	FOF210205008908	E 12TH ST & 19TH AV
2021-02-05	FOF210205008914	34TH ST & HOLLIS ST
2021-02-06	FOF210206009028	E 12TH ST & 20TH AV
2021-02-06	FOF210206009029	26TH ST & WOOD ST
2021-02-07	FOF210207009218	6TH ST & BRUSH ST
2021-02-07	FOF210207009237	23RD ST & MARTIN LUTHER KING JR WY
2021-02-08	FOF210208009458	7TH ST & BROADWAY
2021-02-08	FOF210208009494	ADELINE ST & STANFORD AV
2021-02-09	FOF210209009766	E 12TH ST & 26TH AV
2021-02-09	FOF210209009815	30TH ST & TELEGRAPH AV
2021-02-09	FOF210209009855	E 12TH ST & 26TH AV
2021-02-09	FOF210209009870	73RD AV & SAN LEANDRO ST
2021-02-10	FOF210210010074	BROADWAY & W MACARTHUR BLVD
2021-02-11	FOF210211010173	36TH ST & WEST ST
2021-02-11	FOF210211010273	FRONTAGE RD & W GRAND AV
2021-02-12	FOF210212010484	36TH ST & TELEGRAPH AV
2021-02-13	FOF210213010841	40TH ST & YERBA BUENA AV
2021-02-15	FOF210215011159	23RD ST & MARTIN LUTHER KING JR WY
2021-02-15	FOF210215011186	W GRAND AV & SAN PABLO AV
2021-02-15	FOF210215011219	23RD ST & MARTIN LUTHER KING JR WY
2021-02-15	FOF210215011233	5TH ST & MARKET ST
2021-02-15	FOF210215011350	30TH ST & MARTIN LUTHER KING JR WY
2021-02-16	FOF210216011410	MACARTHUR BLVD & OAKLAND AV
2021-02-16	FOF210216011414	34TH ST & ANDOVER ST
2021-02-16	FOF210216011419	EB I580 & WEBSTER ST
2021-02-16	FOF210216011438	29TH ST & MARTIN LUTHER KING JR WY
2021-02-17	FOF210217011651	7TH ST & MARKET ST
2021-02-18	FOF210218011861	5TH ST & MARKET ST
2021-02-19	FOF210219012219	3612 WEBSTER ST
2021-02-19	FOF210219012223	3612 WEBSTER ST
2021-02-20	FOF210220012346	34TH ST & TELEGRAPH AV
2021-02-20	FOF210220012450	CALDECOTT LN / TUNNEL RD
2021-02-21	FOF210221012603	5TH AV & EMBARCADERO
2021-02-21	FOF210221012606	E 12TH ST & 16TH AV
2021-02-21	FOF210221012659	16TH ST & BRUSH ST
2021-02-22	FOF210222012829	425 MARKET ST
2021-02-22	FOF210222012921	5TH ST & MANDELA PKWY
2021-02-22	FOF210222012972	W GRAND AV & SAN PABLO AV
2021-02-23	FOF210223013110	81ST AV & SAN LEANDRO ST
2021-02-23	FOF210223013146	1900 E 12TH ST
2021-02-23	FOF210223013148	790 54TH AV
2021-02-25	FOF210225013538	2100 WOODBINE AV
2021-02-25	FOF210225013590	35TH ST & MARTIN LUTHER KING JR WY
2021-02-25	FOF210225013696	73RD AV & SAN LEANDRO ST
2021-02-25	FOF210225013730	5TH ST & FILBERT ST
2021-02-25	FOF210225013740	2845 CHAPMAN ST
2021-02-26	FOF210226013826	29TH ST & TELEGRAPH AV
2021-02-26	FOF210226014026	EB I580 CONN & NB I880 CONN
2021-02-27	FOF210227014136	34TH ST & ANDOVER ST
2021-02-27	FOF210227014214	HAVEN ST & PERALTA ST
2021-02-28	FOF210228014314	1900 E 12TH ST
2021-02-28	FOF210228014412	CLAREMONT AV & CLIFTON ST
2021-03-01	FOF210301014502	4TH ST & MARKET ST
2021-03-01	FOF210301014528	SB ADELINE ONRP ST & SB I880
2021-03-01	FOF210301014535	5TH ST & HARRISON ST
2021-03-01	FOF210301014658	16TH ST & MANDELA PKWY
2021-03-02	FOF210302014827	699 BELLEVUE AV
2021-03-02	FOF210302014860	HIGH ST & INTERNATIONAL BLVD
2021-03-02	FOF210302014871	E 12TH ST & 17TH AV
2021-03-02	FOF210302014964	2845 CHAPMAN ST
2021-03-03	FOF210303015012	4000 ALAMEDA AV
2021-03-03	FOF210303015241	60TH ST & SAN PABLO AV
2021-03-03	FOF210303015244	59TH ST & SAN PABLO AV
2021-03-04	FOF210304015400	W GRAND AV & SAN PABLO AV
2021-03-04	FOF210304015433	6TH ST & WEBSTER ST
2021-03-05	FOF210305015548	34TH ST & ANDOVER ST
2021-03-05	FOF210305015699	2ND AV & FOOTHILL BLVD
2021-03-06	FOF210306015790	HIGH ST & JENSEN ST
2021-03-06	FOF210306015908	BROADWAY & EB I580
